"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1257","Courier can be deleted","tests","2026-05-24","passed","2026-05-24","TestDeleteCourier","test_delete_courier","",""
"","393","Courier cannot be created without required login or password","tests","2026-05-24","passed","2026-05-24","TestCreateCourier","test_create_courier","",""
"","432","Courier cannot be deleted without id","tests","2026-05-24","passed","2026-05-24","TestDeleteCourier","test_delete_courier","",""
"","450","Courier can log in","tests","2026-05-24","passed","2026-05-24","TestLoginCourier","test_login_courier","",""
"","1159","Courier cannot be created without firstName","tests","2026-05-24","skipped","2026-05-24","TestCreateCourier","test_create_courier","",""
"","436","Order cannot be accepted without courier id","tests","2026-05-24","passed","2026-05-24","TestAcceptOrder","test_accept_order","",""
"","871","Order can be created with different color options","tests","2026-05-24","passed","2026-05-24","TestCreateOrder","test_create_order","",""
"","431","Courier cannot be created without required login or password","tests","2026-05-24","passed","2026-05-24","TestCreateCourier","test_create_courier","",""
"","367","Order cannot be accepted with nonexistent courier id","tests","2026-05-24","passed","2026-05-24","TestAcceptOrder","test_accept_order","",""
"","468","Courier cannot log in with wrong login or password","tests","2026-05-24","passed","2026-05-24","TestLoginCourier","test_login_courier","",""
"","405","Order cannot be accepted without order id","tests","2026-05-24","passed","2026-05-24","TestAcceptOrder","test_accept_order","",""
"","861","Order can be created with different color options","tests","2026-05-24","passed","2026-05-24","TestCreateOrder","test_create_order","",""
"","388","Nonexistent order cannot be received by track number","tests","2026-05-24","passed","2026-05-24","TestGetOrderByTrack","test_get_order_by_track","",""
"","11876","Orders list is returned in response body","tests","2026-05-24","passed","2026-05-24","TestOrdersList","test_orders_list","",""
"","390","Order can be received by track number","tests","2026-05-24","passed","2026-05-24","TestGetOrderByTrack","test_get_order_by_track","",""
"","847","Order can be created with different color options","tests","2026-05-24","passed","2026-05-24","TestCreateOrder","test_create_order","",""
"","429","Nonexistent courier cannot log in","tests","2026-05-24","passed","2026-05-24","TestLoginCourier","test_login_courier","",""
"","439","Nonexistent courier cannot be deleted","tests","2026-05-24","passed","2026-05-24","TestDeleteCourier","test_delete_courier","",""
"","1673","Duplicate courier cannot be created","tests","2026-05-24","passed","2026-05-24","TestCreateCourier","test_create_courier","",""
"","1263","Courier can be created","tests","2026-05-24","passed","2026-05-24","TestCreateCourier","test_create_courier","",""
"","392","Order cannot be received without track number","tests","2026-05-24","passed","2026-05-24","TestGetOrderByTrack","test_get_order_by_track","",""
"","929","Order can be created with different color options","tests","2026-05-24","passed","2026-05-24","TestCreateOrder","test_create_order","",""
"","388","Order cannot be accepted with nonexistent order id","tests","2026-05-24","passed","2026-05-24","TestAcceptOrder","test_accept_order","",""
"","461","Courier cannot log in without login","tests","2026-05-24","passed","2026-05-24","TestLoginCourier","test_login_courier","",""
"","2840","Order can be accepted","tests","2026-05-24","passed","2026-05-24","TestAcceptOrder","test_accept_order","",""
"","465","Courier cannot log in with wrong login or password","tests","2026-05-24","passed","2026-05-24","TestLoginCourier","test_login_courier","",""
